invoice_number,vendor,amount,invoice_date,due_date,status,po_number
INV-2026-1000,Redwood Payroll Services,831.92,2026-04-16,2026-05-31,pending,PO-5245
INV-2026-1001,Timberline Maintenance,733.84,2026-04-01,2026-04-16,paid,PO-5834
INV-2026-1002,Crescent Print Works,588.83,2026-06-27,2026-08-11,pending,PO-5951
INV-2026-1003,Lakeside Freight Co,615.67,2026-05-16,2026-06-15,pending,PO-5294
INV-2026-1004,Meridian Office Partners,126.35,2026-05-29,2026-06-28,pending,PO-5372
INV-2026-1005,Lakeside Freight Co,492.87,2026-05-30,2026-07-14,pending,PO-5518
INV-2026-1006,Beacon Legal Advisors,1576.76,2026-06-16,2026-07-16,pending,PO-5525
INV-2026-1007,Meridian Office Partners,1826.23,2026-06-06,2026-07-06,paid,PO-5734
INV-2026-1008,Lakeside Freight Co,530.02,2026-06-19,2026-07-19,pending,PO-5690
INV-2026-1009,Beacon Legal Advisors,742.86,2026-05-31,2026-07-15,pending,PO-5207
INV-2026-1010,Crescent Print Works,1685.67,2026-05-08,2026-06-07,pending,PO-5477
INV-2026-1011,Westfield Insurance Group,1365.0,2026-06-05,2026-07-20,paid,PO-5851
INV-2026-1012,Northgate Consulting,1492.01,2026-05-08,2026-06-22,pending,PO-5862
INV-2026-1013,Granite Security Solutions,1617.28,2026-06-01,2026-07-01,pending,PO-5149
INV-2026-1014,Redwood Payroll Services,509.75,2026-05-28,2026-06-12,paid,PO-5253
INV-2026-1015,Cobalt Marketing Studio,1278.36,2026-04-16,2026-05-16,pending,PO-5158
INV-2026-1016,Granite Security Solutions,301.61,2026-04-01,2026-05-16,paid,PO-5558
INV-2026-1017,Lakeside Freight Co,573.63,2026-04-29,2026-05-29,pending,PO-5684
INV-2026-1018,Beacon Legal Advisors,1515.21,2026-04-21,2026-06-05,paid,PO-5532
INV-2026-1019,Cobalt Marketing Studio,500.5,2026-04-26,2026-05-26,pending,PO-5956
INV-2026-1020,Timberline Maintenance,148.72,2026-04-04,2026-05-04,pending,PO-5935
INV-2026-1021,Northgate Consulting,597.63,2026-04-16,2026-05-16,paid,PO-5444
INV-2026-1022,Westfield Insurance Group,320.98,2026-06-19,2026-07-04,pending,PO-5034
INV-2026-1023,Timberline Maintenance,792.34,2026-04-26,2026-05-11,paid,PO-5495
INV-2026-1024,Northgate Consulting,746.5,2026-06-26,2026-07-26,paid,PO-5399
INV-2026-1025,Beacon Legal Advisors,494.38,2026-05-05,2026-05-20,pending,PO-5191
INV-2026-1026,Crescent Print Works,235.83,2026-05-15,2026-06-29,pending,PO-5181
INV-2026-1027,Lakeside Freight Co,635.08,2026-05-12,2026-06-11,paid,PO-5236
INV-2026-1028,Meridian Office Partners,880.02,2026-04-01,2026-05-01,pending,PO-5866
INV-2026-1029,Lakeside Freight Co,289.48,2026-04-21,2026-05-21,pending,PO-5569
INV-2026-1030,Cobalt Marketing Studio,1378.86,2026-06-12,2026-07-12,paid,PO-5103
INV-2026-1031,Cobalt Marketing Studio,199.36,2026-05-04,2026-05-19,paid,PO-5777
INV-2026-1032,Westfield Insurance Group,917.36,2026-05-16,2026-05-31,pending,PO-5283
INV-2026-1033,Northgate Consulting,1254.85,2026-06-15,2026-07-15,pending,PO-5262
INV-2026-1034,Meridian Office Partners,1396.13,2026-04-09,2026-04-24,paid,PO-5240
INV-2026-1035,Fairview Catering Group,435.34,2026-04-03,2026-05-03,pending,PO-5621
INV-2026-1036,Fairview Catering Group,1119.57,2026-06-20,2026-08-04,paid,PO-5608
INV-2026-1037,Cobalt Marketing Studio,423.28,2026-05-30,2026-06-14,pending,PO-5881
INV-2026-1038,Meridian Office Partners,260.25,2026-06-04,2026-07-19,pending,PO-5711
INV-2026-1039,Fairview Catering Group,1019.91,2026-05-13,2026-06-27,paid,PO-5555
INV-2026-1040,Meridian Office Partners,656.23,2026-05-14,2026-06-13,pending,PO-5592
INV-2026-1041,Beacon Legal Advisors,419.45,2026-04-17,2026-05-17,paid,PO-5793
INV-2026-1042,Crescent Print Works,1250.58,2026-04-17,2026-06-01,paid,PO-5233
INV-2026-1043,Cobalt Marketing Studio,28.4,2026-04-03,2026-05-03,paid,PO-5859
INV-2026-1044,Fairview Catering Group,760.42,2026-04-23,2026-05-23,pending,PO-5057
INV-2026-1045,Timberline Maintenance,2473.35,2026-06-24,2026-07-24,paid,PO-5993
INV-2026-1046,Granite Security Solutions,4473.16,2026-04-29,2026-06-13,pending,PO-5973
INV-2026-1047,Fairview Catering Group,686.29,2026-04-30,2026-05-30,pending,PO-5470
INV-2026-1048,Alderwood IT Services,425.17,2026-06-21,2026-07-21,paid,PO-5643
INV-2026-1049,Cobalt Marketing Studio,3422.14,2026-05-23,2026-06-07,paid,PO-5086
INV-2026-1050,Granite Security Solutions,289.99,2026-05-09,2026-06-08,paid,PO-5925
INV-2026-1051,Redwood Payroll Services,848.54,2026-04-03,2026-05-03,paid,PO-5978
INV-2026-1052,Westfield Insurance Group,646.77,2026-05-21,2026-06-20,paid,PO-5087
INV-2026-1053,Crescent Print Works,1031.59,2026-04-19,2026-05-19,paid,PO-5755
INV-2026-1054,Crescent Print Works,819.93,2026-06-15,2026-07-15,pending,PO-5365
INV-2026-1055,Fairview Catering Group,824.35,2026-04-18,2026-06-02,paid,PO-5739
INV-2026-1056,Northgate Consulting,208.52,2026-06-06,2026-07-06,paid,PO-5908
INV-2026-1057,Fairview Catering Group,732.68,2026-04-15,2026-04-30,paid,PO-5376
INV-2026-1058,Northgate Consulting,358.49,2026-05-09,2026-06-08,paid,PO-5334
INV-2026-1059,Cobalt Marketing Studio,246.23,2026-06-02,2026-07-02,paid,PO-5356
INV-2026-1060,Redwood Payroll Services,713.88,2026-05-31,2026-07-15,pending,PO-5084
INV-2026-1061,Crescent Print Works,965.21,2026-04-09,2026-05-24,pending,PO-5771
INV-2026-1062,Fairview Catering Group,321.62,2026-06-24,2026-07-24,pending,PO-5412
INV-2026-1063,Fairview Catering Group,149.91,2026-05-11,2026-06-10,pending,PO-5851
INV-2026-1064,Beacon Legal Advisors,484.86,2026-06-15,2026-07-15,pending,PO-5336
INV-2026-1065,Crescent Print Works,104.63,2026-04-16,2026-05-31,paid,PO-5558
INV-2026-1066,Westfield Insurance Group,352.26,2026-06-20,2026-07-20,paid,PO-5274
INV-2026-1067,Meridian Office Partners,823.13,2026-05-08,2026-06-22,pending,PO-5690
INV-2026-1068,Cobalt Marketing Studio,274.45,2026-05-23,2026-07-07,paid,PO-5434
INV-2026-1069,Granite Security Solutions,767.76,2026-05-16,2026-06-30,paid,PO-5010
INV-2026-1070,Redwood Payroll Services,679.7,2026-05-05,2026-06-04,pending,PO-5852
INV-2026-1071,Meridian Office Partners,1718.23,2026-05-31,2026-06-15,paid,PO-5651
INV-2026-1072,Westfield Insurance Group,178.47,2026-04-16,2026-05-31,pending,PO-5637
INV-2026-1073,Westfield Insurance Group,382.3,2026-06-20,2026-07-20,paid,PO-5097
INV-2026-1074,Alderwood IT Services,429.97,2026-04-20,2026-06-04,paid,PO-5722
INV-2026-1075,Lakeside Freight Co,200.13,2026-05-10,2026-06-09,paid,PO-5277
INV-2026-1076,Timberline Maintenance,126.0,2026-05-24,2026-06-23,pending,PO-5351
INV-2026-1077,Fairview Catering Group,350.51,2026-05-15,2026-06-29,pending,PO-5037
INV-2026-1078,Crescent Print Works,592.42,2026-06-22,2026-07-22,pending,PO-5203
INV-2026-1079,Crescent Print Works,65.66,2026-05-18,2026-07-02,paid,PO-5595
INV-2026-1080,Timberline Maintenance,1609.55,2026-04-07,2026-05-07,paid,PO-5873
INV-2026-1081,Northgate Consulting,573.08,2026-06-05,2026-07-05,paid,PO-5575
INV-2026-1082,Cobalt Marketing Studio,2714.4,2026-04-23,2026-06-07,paid,PO-5947
INV-2026-1083,Westfield Insurance Group,298.69,2026-06-17,2026-07-17,paid,PO-5810
