invoice_number,vendor,amount,invoice_date,due_date,status,po_number
INV-2026-4445,Wellspring Analytics,152.96,2026-04-26,2026-05-11,paid,PO-6455
INV-2026-2870,Harborstone Consulting,33188.9,2026-04-26,2026-05-26,overdue,PO-6905
INV-2026-3106,Baystate Facilities,139.34,2026-02-16,2026-03-03,pending,PO-6188
INV-2026-4002,Harborstone Consulting Group,135.11,2026-06-28,2026-07-28,paid,PO-6886
INV-2026-2461,SUMMIT OFFICE SUPPLIES,374.4,2026-05-27,2026-06-26,paid,PO-6153
INV-2026-3473,Summit Office Supplies,1283.95,2026-05-07,2026-06-06,paid,PO-6749
INV-2026-2924,Delta Freight Solutions,4068.2,2026-05-26,2026-07-25,paid,PO-6681
INV-2026-3786,Pinnacle Telecom,4285.97,2026-04-14,2026-05-14,pending,PO-6645
INV-2026-4628,Riverside Cleaning Co,361.99,2026-03-27,2026-05-26,overdue,PO-6541
INV-2026-2830,Delta Freight Solutions,1022.7,2026-02-15,2026-03-17,paid,PO-6872
INV-2026-3484,Trustpoint Insurance,513.37,2026-05-29,2026-07-28,overdue,PO-6527
INV-2026-3805,Baystate Facilities,1048.78,2026-03-19,2026-05-18,pending,PO-6182
INV-2026-3399,Quartz Design Studio,136.46,2026-04-02,2026-06-01,paid,PO-6844
INV-2026-4929,BluePeak Marketing,1312.06,2026-05-29,2026-07-28,overdue,PO-6823
INV-2026-5088,Pinnacle Telecom,103.23,2026-03-18,2026-04-17,pending,PO-6714
INV-2026-3170,Meadowbrook Payroll,2207.1,2026-02-28,2026-03-30,overdue,PO-6592
INV-2026-3220,Baystate Facilities,1098.05,2026-02-03,2026-03-20,paid,PO-6704
INV-2026-4187,Baystate Facilities,764.37,2026-02-06,2026-03-23,overdue,PO-6077
INV-2026-5154,Baystate Facilities,2832.89,2026-03-03,2026-04-17,pending,PO-6010
INV-2026-4265,Wellspring Analytics,119.71,2026-04-14,2026-04-29,pending,PO-6042
INV-2026-2984,Northwind Security,543.61,2026-01-07,2026-02-21,paid,PO-6768
INV-2026-3937,Golden Valley Catering,687.79,2026-04-09,2026-05-09,overdue,PO-6969
INV-2026-3016,Delta Freight Solutions,909.12,2026-03-26,2026-05-25,paid,PO-6784
INV-2026-4244,Pinnacle Telecom,238.77,2026-02-06,2026-03-23,paid,PO-6000
INV-2026-4871,Baystate Facilities,229.16,2026-01-20,2026-03-21,overdue,PO-6350
INV-2026-2069,Meadowbrook Payroll,3028.33,2026-03-10,2026-04-09,pending,PO-6141
INV-2026-4112,Baystate Facilities,6932.18,2026-06-05,2026-07-05,overdue,PO-6379
INV-2026-4283,Pinnacle Telecom,1886.92,2026-05-10,2026-06-09,paid,PO-6928
INV-2026-5005,Precision Print Shop,3193.79,2026-06-01,2026-07-01,paid,PO-6076
INV-2026-3408,Harborstone Consulting Group,981.3,2026-01-30,2026-02-14,paid,PO-6137
INV-2026-3089,Ironclad Logistics,151.95,2026-05-19,2026-06-18,overdue,PO-6205
INV-2026-4634,Zenith IT Consulting,551.97,2026-03-31,2026-05-15,pending,PO-6135
INV-2026-2408,Northwind Security,1140.73,2026-03-27,2026-04-26,overdue,PO-6398
INV-2026-4694,Meadowbrook Payroll,342.03,2026-03-06,2026-04-20,overdue,PO-6276
INV-2026-2100,Quartz Design Studio,158.4,2026-04-05,2026-05-05,overdue,PO-6513
INV-2026-2137,Northwind Security,2023.21,2026-03-31,2026-04-30,pending,PO-6713
INV-2026-3120,Baystate Facilities,279.74,2026-03-15,2026-04-14,pending,PO-6835
INV-2026-3944,Quartz Design Studio,622.27,,2026-04-23,pending,PO-6401
INV-2026-2790,Delta Freight Solutions LLC,188.8,2026-06-16,2026-08-15,pending,PO-6211
INV-2026-4960,Summit Office Supplies,5918.88,2026-01-10,2026-03-11,pending,PO-6191
INV-2026-2616,BluePeak Marketing,2621.8,2026-06-14,2026-07-29,paid,PO-6735
INV-2026-3733,Harborstone Consulting Group,36.28,2026-06-07,2026-08-06,paid,PO-6485
INV-2026-3534,Golden Valley Catering,211.18,2026-01-10,2026-02-09,overdue,PO-6472
INV-2026-5084,Quartz Design Studio,4019.2,2026-06-23,2026-08-07,pending,PO-6380
INV-2026-3118,Northwind Security,1039.8,2026-02-16,2026-03-18,overdue,PO-6158
INV-2026-2195,Everline Distribution,3119.25,2026-05-30,2026-07-14,pending,PO-6389
INV-2026-3547,Ridgeline HVAC,357.69,2026-02-13,2026-03-15,paid,PO-6798
INV-2026-2717,Wellspring Analytics,,2026-02-19,2026-04-05,pending,PO-6367
INV-2026-2292,Ridgeline HVAC,1916.82,2026-05-07,2026-06-06,pending,PO-6215
INV-2026-4644,Delta Freight Solutions,510.08,2026-02-08,2026-03-10,pending,PO-6870
INV-2026-2484,Bluepeak Marketing,133.83,2026-06-17,2026-07-17,pending,PO-6093
INV-2026-3637,Trustpoint Insurance,1364.96,2026-04-04,2026-05-04,pending,PO-6991
INV-2026-3920,Fleetline Maintenance,1197.61,2026-02-11,2026-03-13,paid,PO-6926
INV-2026-4578,Harborstone Consulting,971.49,2026-03-10,2026-04-09,pending,PO-6147
INV-2026-2782,Delta Freight Solutions LLC,1522.75,2026-03-13,2026-04-12,paid,PO-6713
INV-2026-3860,Wellspring Analytics,168.52,2026-06-15,2026-06-30,overdue,PO-6514
INV-2026-3769,Quartz Design Studio,349.87,2026-02-11,2026-03-28,pending,PO-6476
INV-2026-5159,Quartz Design Studio,187.38,2026-04-22,2026-05-22,pending,PO-6925
INV-2026-4038,Ironclad Logistics,1415.93,2026-05-05,2026-06-04,paid,PO-6017
INV-2026-4302,Trustpoint Insurance,1048.21,2026-02-05,2026-03-07,pending,PO-6738
INV-2026-2001,Ridgeline HVAC,597.77,2026-01-05,2026-03-06,pending,PO-6478
INV-2026-2920,Wellspring Analytics,1122.56,2026-03-18,2026-04-17,pending,PO-6284
INV-2026-2963,Riverside Cleaning Co,315.8,2026-04-24,2026-05-24,pending,PO-6501
INV-2026-5132,Everline Distribution,673.78,2026-05-22,2026-07-21,overdue,PO-6463
INV-2026-4583,Golden Valley Catering,1649.74,2026-04-20,2026-05-20,pending,PO-6289
INV-2026-3829,Ridgeline HVAC,23978.72,2026-06-14,2026-07-14,paid,PO-6941
INV-2026-4478,Golden Valley Catering,2785.77,2026-06-18,2026-07-18,overdue,PO-6207
INV-2026-3031,Civic Square Legal,721.95,,2026-07-17,pending,PO-6549
INV-2026-3095,Trustpoint Insurance,944.48,2026-05-26,2026-06-25,paid,PO-6705
INV-2026-4966,Golden Valley Catering,414.42,2026-06-23,2026-07-23,overdue,PO-6215
INV-2026-2351,Wellspring Analytics,157.41,2026-03-26,2026-05-10,paid,PO-6337
INV-2026-3528,Delta Freight Solutions,533.41,2026-01-02,2026-03-03,overdue,PO-6564
INV-2026-2153,Zenith IT Consulting,4498.0,2026-02-19,2026-03-21,overdue,PO-6797
