invoice_number,vendor,amount,invoice_date,due_date,status,po_number
INV-2026-1000,Cascade HVAC Repair,1711.26,2026-04-30,2026-06-14,paid,PO-4944
INV-2026-1001,Harborview Consulting Group,5764.12,2026-05-28,2026-06-27,pending,PO-4897
INV-2026-1002,Silverline Telecom,352.65,2026-04-16,2026-05-01,overdue,PO-4891
INV-2026-1003,Harborview Consulting Group,490.2,2026-04-27,2026-05-27,paid,PO-4356
INV-2026-1004,Metro Fleet Maintenance,180.95,2026-06-18,2026-08-02,overdue,PO-4281
INV-2026-1005,SUNRISE OFFICE SUPPLIES,723.45,2026-06-28,2026-07-28,pending,PO-4223
INV-2026-1006,Cascade HVAC Repair,840.01,2026-06-24,2026-07-24,pending,PO-4763
INV-2026-1007,Vertex IT Solutions,1340.66,2026-04-09,2026-05-09,paid,PO-4096
INV-2026-1008,Riverside Payroll Services,917.93,2026-04-23,2026-05-23,paid,PO-4172
INV-2026-1009,Riverside Payroll Services,731.12,2026-06-29,2026-07-29,pending,PO-4432
INV-2026-1010,Golden Gate Catering,570.49,2026-05-22,2026-07-06,overdue,PO-4554
INV-2026-1011,Anchor Point Insurance,757.24,2026-06-17,2026-07-02,pending,PO-4293
INV-2026-1012,Brightpath Marketing,2668.03,2026-06-14,2026-07-14,overdue,PO-4677
INV-2026-1013,BrightPath Marketing,386.21,2026-06-02,2026-07-02,pending,PO-4082
INV-2026-1014,Harborview Consulting Group,341.27,2026-05-07,2026-06-21,pending,PO-4582
INV-2026-1015,Harborview Consulting Group,5613.51,2026-04-22,2026-05-22,paid,PO-4658
INV-2026-1016,Premier Print & Design,1054.36,2026-04-14,2026-05-29,overdue,PO-4696
INV-2026-1017,Northside Security Systems,65.24,2026-05-19,2026-06-18,overdue,PO-4369
INV-2026-1018,Northside Security Systems,1047.89,2026-05-05,2026-06-04,pending,PO-4065
INV-2026-1019,Sunrise Office Supplies,232.92,2026-05-13,2026-06-27,overdue,PO-4887
INV-2026-1020,Vertex IT Solutions,183.46,2026-04-09,2026-05-09,paid,PO-4288
INV-2026-1021,Premier Print & Design,2615.91,2026-06-03,2026-07-18,overdue,PO-4682
INV-2026-1022,BrightPath Marketing,687.93,2026-06-21,2026-07-21,paid,PO-4249
INV-2026-1023,Metro Fleet Maintenance,788.02,2026-06-21,2026-07-21,pending,PO-4069
INV-2026-1024,Coastal Cleaning Services,706.34,2026-05-27,2026-06-26,overdue,PO-4422
INV-2026-1025,Metro Fleet Maintenance,1480.88,2026-06-03,2026-06-18,overdue,PO-4161
INV-2026-1026,Golden Gate Catering,2268.34,2026-06-21,2026-07-21,pending,PO-4795
INV-2026-1027,Golden Gate Catering,2887.68,2026-05-12,2026-06-11,paid,PO-4187
INV-2026-1028,Riverside Payroll Services,366.93,2026-05-25,2026-07-09,pending,PO-4121
INV-2026-1029,Cascade HVAC Repair,771.08,2026-06-03,2026-07-03,pending,PO-4644
INV-2026-1030,sunrise office supplies,451.97,2026-05-16,2026-06-15,paid,PO-4703
INV-2026-1031,Union Square Legal Services,305.09,2026-06-03,2026-06-18,overdue,PO-4318
INV-2026-1032,Silverline Telecom,858.36,2026-06-02,2026-07-17,overdue,PO-4077
INV-2026-1033,"Apex Logistics, LLC",251.37,2026-05-06,2026-06-05,overdue,PO-4582
INV-2026-1034,Silverline Telecom,140.34,2026-04-01,2026-05-01,overdue,PO-4033
INV-2026-1035,Vertex IT Solutions,101.9,2026-05-10,2026-06-09,pending,PO-4384
INV-2026-1036,BrightPath Marketing,456.81,2026-04-23,2026-05-23,paid,PO-4731
INV-2026-1037,Northside Security Systems,354.2,2026-04-20,2026-05-20,overdue,PO-4099
INV-2026-1038,Riverside Payroll Services,5132.67,2026-05-14,2026-06-28,overdue,PO-4376
INV-2026-1039,Metro Fleet Maintenance,1111.19,2026-05-05,2026-06-19,paid,PO-4914
INV-2026-1040,Union Square Legal Services,5488.7,2026-05-13,2026-05-28,overdue,PO-4133
INV-2026-1041,Riverside Payroll Services,4932.9,2026-04-30,2026-05-30,paid,PO-4817
INV-2026-1042,Anchor Point Insurance,891.13,2026-06-08,2026-06-23,paid,PO-4517
INV-2026-1043,Metro Fleet Maintenance,503.23,2026-04-06,2026-05-06,overdue,PO-4136
INV-2026-1044,Northside Security Systems,1251.53,2026-04-03,2026-04-18,overdue,PO-4594
INV-2026-1045,Golden Gate Catering,483.45,2026-06-24,2026-08-08,overdue,PO-4233
